title,price_gbp,rating,in_stock
Sapiens: A Brief History of Humankind,54.23,5,1
Set Me Free,17.46,5,1
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,1
Rip it Up and Start Again,35.02,5,1
Chase Me (Paris Nights #2),25.27,5,1
Black Dust,34.53,5,1
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,1
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,1
The Elephant Tree,23.82,5,1
Sophie's World,15.94,5,1
Private Paris (Private #10),47.61,5,1
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,1
"We Love You, Charlie Freeman",50.27,5,1
Thirst,17.27,5,1
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,1
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,1
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,1
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,1
Join,35.67,5,1
Sharp Objects,47.82,4,1
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,1
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,1
Shakespeare's Sonnets,20.66,4,1
Wall and Piece,44.18,4,1
Behind Closed Doors,52.22,4,1
Untitled Collection: Sabbath Poems 2014,14.27,4,1
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,1
This One Summer,19.49,4,1
The Past Never Ends,56.5,4,1
The Nameless City (The Nameless City #1),38.16,4,1
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,1
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,1
The Death of Humanity: and the Case for Life,58.11,4,1
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,1
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,1
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,1
In the Country We Love: My Family Divided,22.0,4,1
