title,price_gbp,price_inr
The Death of Humanity: and the Case for Life,58.11,6130.6
Slow States of Collapse: Poems,57.31,6046.2
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,6039.88
The Past Never Ends,56.5,5960.75
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,5951.25
Masks and Shadows,56.4,5950.2
The Secret of Dreadwillow Carse,56.13,5921.72
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,5914.33
Birdsong: A Story in Pictures,54.64,5764.52
Sapiens: A Brief History of Humankind,54.23,5721.26
