title,price_gbp,rating
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5
Shakespeare's Sonnets,20.66,4
In the Country We Love: My Family Divided,22.0,4
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4
The Requiem Red,22.65,1
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5
The Elephant Tree,23.82,5
Olio,23.88,1
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3
Chase Me (Paris Nights #2),25.27,5
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1
Reasons to Stay Alive,26.41,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3
When We Collided,31.77,1
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5
Penny Maybe,33.29,3
The Dirty Little Secrets of Getting Your Dream Job,33.34,4
My Paris Kitchen: Recipes and Stories,33.37,2
You can't bury them all: Poems,33.63,2
Black Dust,34.53,5
Rip it Up and Start Again,35.02,5
Join,35.67,5
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2
The Bear and the Piano,36.89,1
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1
How Music Works,37.32,2
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1
The Nameless City (The Nameless City #1),38.16,4
Security,39.25,2
Soul Reader,39.58,2
